X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
369,1.12E-03,,
370,1.12E-03,,
371,1.40E-03,,
372,1.40E-03,,
373,1.40E-03,,
374,1.68E-03,,
375,1.68E-03,,
376,1.68E-03,,
377,1.96E-03,,
378,1.96E-03,,
379,1.96E-03,,
380,1.96E-03,,
381,1.96E-03,,
382,1.96E-03,,
383,2.24E-03,,
384,2.24E-03,,
385,2.24E-03,,
386,2.24E-03,,
387,2.24E-03,,
388,2.24E-03,,
389,2.24E-03,,
390,2.24E-03,,
391,2.24E-03,,
392,2.24E-03,,
393,2.52E-03,,
394,2.52E-03,,
395,2.80E-03,,
396,2.80E-03,,
397,2.80E-03,,
398,2.80E-03,,
399,2.80E-03,,
400,3.08E-03,,
401,3.08E-03,,
402,3.08E-03,,
403,3.08E-03,,
404,3.08E-03,,
405,3.08E-03,,
406,3.08E-03,,
407,3.08E-03,,
408,3.08E-03,,
409,3.08E-03,,
410,3.36E-03,,
411,3.36E-03,,
412,3.36E-03,,
413,3.36E-03,,
414,3.36E-03,,
415,3.36E-03,,
416,3.36E-03,,
417,3.36E-03,,
418,3.36E-03,,
419,3.36E-03,,
420,3.36E-03,,
421,3.36E-03,,
422,3.36E-03,,
423,3.36E-03,,
424,3.08E-03,,
425,3.08E-03,,
426,3.08E-03,,
427,3.08E-03,,
428,3.08E-03,,
429,2.80E-03,,
430,2.80E-03,,
431,2.80E-03,,
432,2.80E-03,,
433,2.80E-03,,
434,2.80E-03,,
435,2.80E-03,,
436,2.80E-03,,
437,2.80E-03,,
438,2.52E-03,,
439,2.52E-03,,
440,2.52E-03,,
441,2.52E-03,,
442,2.52E-03,,
443,2.52E-03,,
444,2.52E-03,,
445,2.24E-03,,
446,2.24E-03,,
447,2.24E-03,,
448,2.24E-03,,
449,1.96E-03,,
450,1.96E-03,,
451,1.96E-03,,
452,1.96E-03,,
453,1.96E-03,,
454,1.96E-03,,
455,1.68E-03,,
456,1.68E-03,,
457,1.68E-03,,
458,1.40E-03,,
459,1.40E-03,,
460,1.40E-03,,
461,1.40E-03,,
462,1.12E-03,,
463,1.12E-03,,
464,1.12E-03,,
465,1.12E-03,,
466,8.40E-04,,
467,8.40E-04,,
468,5.60E-04,,
469,5.60E-04,,
470,2.80E-04,,
471,2.80E-04,,
472,2.80E-04,,
473,0.00E+00,,
474,0.00E+00,,
475,-2.80E-04,,
476,-2.80E-04,,
477,-5.60E-04,,
478,-5.60E-04,,
479,-5.60E-04,,
480,-5.60E-04,,
481,-8.40E-04,,
482,-8.40E-04,,
483,-8.40E-04,,
484,-8.40E-04,,
485,-8.40E-04,,
486,-1.12E-03,,
487,-1.12E-03,,
488,-1.40E-03,,
489,-1.40E-03,,
490,-1.40E-03,,
491,-1.68E-03,,
492,-1.68E-03,,
493,-1.68E-03,,
494,-1.68E-03,,
495,-1.68E-03,,
496,-1.96E-03,,
497,-1.96E-03,,
