X,CH1,Start,Increment,adjusted,
Sequence,VOLT,4.75E-05,1.00E-06,,
436,0.00392,,,0.00336,26.16
437,0.00392,,,0.00336,26.22
438,0.00392,,,0.00336,26.28
439,0.00392,,,0.00308,26.34
440,0.00392,,,0.00308,26.4
441,0.00392,,,0.00308,26.46
442,0.00392,,,0.0028,26.52
443,0.00392,,,0.0028,26.58
444,0.00364,,,0.00252,26.64
445,0.00364,,,0.00252,26.7
446,0.00364,,,0.00224,26.76
447,0.00336,,,0.00224,26.82
448,0.00336,,,0.00224,26.88
449,0.00336,,,0.00224,26.94
450,0.00336,,,0.00196,27
451,0.00336,,,0.00196,27.06
452,0.00308,,,0.00196,27.12
453,0.00308,,,0.00168,27.18
454,0.0028,,,0.00168,27.24
455,0.0028,,,0.00168,27.3
456,0.0028,,,0.0014,27.36
457,0.0028,,,0.0014,27.42
458,0.00252,,,0.00112,27.48
459,0.00252,,,0.00112,27.54
460,0.00252,,,0.00112,27.6
461,0.00252,,,0.00084,27.66
462,0.00224,,,0.00084,27.72
463,0.00224,,,0.00084,27.78
464,0.00224,,,0.00084,27.84
465,0.00196,,,0.00084,27.9
466,0.00196,,,0.00056,27.96
467,0.00168,,,0.00056,28.02
468,0.00168,,,0.00056,28.08
469,0.0014,,,0.00056,28.14
470,0.0014,,,0.00056,28.2
471,0.00112,,,0.00056,28.26
472,0.00112,,,0.00056,28.32
473,0.00112,,,0.00056,28.38
474,0.00084,,,0.00056,28.44
475,0.00084,,,0.00028,28.5
476,0.00084,,,0.00028,28.56
477,0.00056,,,0.00028,28.62
478,0.00056,,,0.00028,28.68
479,0.00028,,,0.00028,28.74
480,0.00028,,,0.00028,28.8
481,0,,,0.00028,28.86
482,0,,,0.00028,28.92
483,0,,,0.00028,28.98
484,0,,,0.00028,29.04
485,-0.00028,,,0.00028,29.1
486,-0.00028,,,0.00028,29.16
487,-0.00028,,,0.00028,29.22
488,-0.00056,,,0.00028,29.28
489,-0.00056,,,0.00028,29.34
490,-0.00056,,,0.00028,29.4
491,-0.00084,,,0.00028,29.46
492,-0.00084,,,0.00028,29.52
493,-0.00112,,,0.00056,29.58
494,-0.00112,,,0.00056,29.64
495,-0.00112,,,0.00056,29.7
496,-0.0014,,,0.00056,29.76
497,-0.0014,,,0.00084,29.82
498,-0.0014,,,0.00084,29.88
499,-0.0014,,,0.00084,29.94
500,-0.0014,,,0.00084,30
501,-0.00168,,,0.00084,30.06
502,-0.00168,,,0.00112,30.12
503,-0.00168,,,0.00112,30.18
504,-0.00168,,,0.00112,30.24
505,-0.00168,,,0.0014,30.3
506,-0.00168,,,0.0014,30.36
507,-0.00168,,,0.0014,30.42
508,-0.00168,,,0.00168,30.48
509,-0.00168,,,0.00168,30.54
510,-0.00196,,,0.00196,30.6
511,-0.00196,,,0.00196,30.66
512,-0.00196,,,0.00224,30.72
513,-0.00196,,,0.00224,30.78
