X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.75E-05,1.00E-06,
354,-0.00028,,,0.00224
355,-0.00028,,,0.00224
356,-0.00028,,,0.00224
357,0,,,0.00252
358,0,,,0.00252
359,0,,,0.00252
360,0.00028,,,0.0028
361,0.00028,,,0.0028
362,0.00056,,,0.00308
363,0.00056,,,0.00308
364,0.00056,,,0.00308
365,0.00056,,,0.00308
366,0.00084,,,0.00336
367,0.00084,,,0.00336
368,0.00084,,,0.00336
369,0.00112,,,0.00364
370,0.00112,,,0.00364
371,0.0014,,,0.00392
372,0.0014,,,0.00392
373,0.0014,,,0.00392
374,0.00168,,,0.0042
375,0.00168,,,0.0042
376,0.00168,,,0.0042
377,0.00196,,,0.00448
378,0.00196,,,0.00448
379,0.00196,,,0.00448
380,0.00196,,,0.00448
381,0.00196,,,0.00448
382,0.00196,,,0.00448
383,0.00224,,,0.00476
384,0.00224,,,0.00476
385,0.00224,,,0.00476
386,0.00224,,,0.00476
387,0.00224,,,0.00476
388,0.00224,,,0.00476
389,0.00224,,,0.00476
390,0.00224,,,0.00476
391,0.00224,,,0.00476
392,0.00224,,,0.00476
393,0.00252,,,0.00504
394,0.00252,,,0.00504
395,0.0028,,,0.00532
396,0.0028,,,0.00532
397,0.0028,,,0.00532
398,0.0028,,,0.00532
399,0.0028,,,0.00532
400,0.00308,,,0.0056
401,0.00308,,,0.0056
402,0.00308,,,0.0056
403,0.00308,,,0.0056
404,0.00308,,,0.0056
405,0.00308,,,0.0056
406,0.00308,,,0.0056
407,0.00308,,,0.0056
408,0.00308,,,0.0056
409,0.00308,,,0.0056
410,0.00336,,,0.00588
411,0.00336,,,0.00588
412,0.00336,,,0.00588
413,0.00336,,,0.00588
414,0.00336,,,0.00588
415,0.00336,,,0.00588
416,0.00336,,,0.00588
417,0.00336,,,0.00588
418,0.00336,,,0.00588
419,0.00336,,,0.00588
420,0.00336,,,0.00588
421,0.00336,,,0.00588
422,0.00336,,,0.00588
423,0.00336,,,0.00588
424,0.00308,,,0.0056
425,0.00308,,,0.0056
426,0.00308,,,0.0056
427,0.00308,,,0.0056
428,0.00308,,,0.0056
429,0.0028,,,0.00532
430,0.0028,,,0.00532
431,0.0028,,,0.00532
432,0.0028,,,0.00532
433,0.0028,,,0.00532
434,0.0028,,,0.00532
435,0.0028,,,0.00532
436,0.0028,,,0.00532
437,0.0028,,,0.00532
438,0.00252,,,0.00504
439,0.00252,,,0.00504
440,0.00252,,,0.00504
441,0.00252,,,0.00504
442,0.00252,,,0.00504
443,0.00252,,,0.00504
444,0.00252,,,0.00504
445,0.00224,,,0.00476
446,0.00224,,,0.00476
447,0.00224,,,0.00476
448,0.00224,,,0.00476
449,0.00196,,,0.00448
450,0.00196,,,0.00448
451,0.00196,,,0.00448
452,0.00196,,,0.00448
453,0.00196,,,0.00448
454,0.00196,,,0.00448
455,0.00168,,,0.0042
456,0.00168,,,0.0042
457,0.00168,,,0.0042
458,0.0014,,,0.00392
459,0.0014,,,0.00392
460,0.0014,,,0.00392
461,0.0014,,,0.00392
462,0.00112,,,0.00364
463,0.00112,,,0.00364
464,0.00112,,,0.00364
465,0.00112,,,0.00364
466,0.00084,,,0.00336
467,0.00084,,,0.00336
468,0.00056,,,0.00308
469,0.00056,,,0.00308
470,0.00028,,,0.0028
471,0.00028,,,0.0028
472,0.00028,,,0.0028
473,0,,,0.00252
474,0,,,0.00252
475,-0.00028,,,0.00224
476,-0.00028,,,0.00224
477,-0.00056,,,0.00196
478,-0.00056,,,0.00196
479,-0.00056,,,0.00196
480,-0.00056,,,0.00196
481,-0.00084,,,0.00168
482,-0.00084,,,0.00168
483,-0.00084,,,0.00168
484,-0.00084,,,0.00168
485,-0.00084,,,0.00168
486,-0.00112,,,0.0014
487,-0.00112,,,0.0014
488,-0.0014,,,0.00112
489,-0.0014,,,0.00112
490,-0.0014,,,0.00112
491,-0.00168,,,0.00084
492,-0.00168,,,0.00084
493,-0.00168,,,0.00084
494,-0.00168,,,0.00084
495,-0.00168,,,0.00084
496,-0.00196,,,0.00056
497,-0.00196,,,0.00056
498,-0.00196,,,0.00056
499,-0.00196,,,0.00056
500,-0.00196,,,0.00056
501,-0.00196,,,0.00056
502,-0.00224,,,0.00028
503,-0.00224,,,0.00028
504,-0.00224,,,0.00028
505,-0.00224,,,0.00028
506,-0.00224,,,0.00028
507,-0.00224,,,0.00028
508,-0.00224,,,0.00028
509,-0.00224,,,0.00028
510,-0.00224,,,0.00028
511,-0.00224,,,0.00028
512,-0.00224,,,0.00028
513,-0.00224,,,0.00028
514,-0.00224,,,0.00028
515,-0.00224,,,0.00028
516,-0.00224,,,0.00028
517,-0.00224,,,0.00028
518,-0.00224,,,0.00028
519,-0.00224,,,0.00028
520,-0.00224,,,0.00028
521,-0.00196,,,0.00056
522,-0.00196,,,0.00056
523,-0.00196,,,0.00056
524,-0.00196,,,0.00056
525,-0.00196,,,0.00056
526,-0.00196,,,0.00056
527,-0.00168,,,0.00084
528,-0.00168,,,0.00084
529,-0.00168,,,0.00084
530,-0.00168,,,0.00084
531,-0.0014,,,0.00112
532,-0.0014,,,0.00112
533,-0.0014,,,0.00112
534,-0.00112,,,0.0014
535,-0.00112,,,0.0014
536,-0.00112,,,0.0014
537,-0.00112,,,0.0014
538,-0.00084,,,0.00168
539,-0.00084,,,0.00168
540,-0.00084,,,0.00168
541,-0.00056,,,0.00196
542,-0.00056,,,0.00196
543,-0.00056,,,0.00196
544,-0.00028,,,0.00224
545,-0.00028,,,0.00224
546,-0.00028,,,0.00224
547,0,,,0.00252
548,0,,,0.00252
549,0.00028,,,0.0028
550,0.00028,,,0.0028
551,0.00056,,,0.00308
552,0.00056,,,0.00308
553,0.00084,,,0.00336
554,0.00112,,,0.00364
555,0.00112,,,0.00364
556,0.00112,,,0.00364
557,0.0014,,,0.00392
558,0.0014,,,0.00392
559,0.00168,,,0.0042
560,0.00196,,,0.00448
561,0.00196,,,0.00448
562,0.00196,,,0.00448
563,0.00196,,,0.00448
564,0.00224,,,0.00476
565,0.00224,,,0.00476
566,0.00252,,,0.00504
567,0.00252,,,0.00504
568,0.00252,,,0.00504
569,0.0028,,,0.00532
570,0.0028,,,0.00532
571,0.00308,,,0.0056
572,0.00308,,,0.0056
573,0.00336,,,0.00588
574,0.00336,,,0.00588
575,0.00336,,,0.00588
576,0.00364,,,0.00616
577,0.00364,,,0.00616
578,0.00364,,,0.00616
579,0.00364,,,0.00616
580,0.00392,,,0.00644
581,0.00392,,,0.00644
582,0.00392,,,0.00644
583,0.00392,,,0.00644
584,0.0042,,,0.00672
585,0.0042,,,0.00672
586,0.00448,,,0.007
587,0.00448,,,0.007
588,0.00448,,,0.007
589,0.00448,,,0.007
590,0.00476,,,0.00728
591,0.00476,,,0.00728
592,0.00476,,,0.00728
593,0.00476,,,0.00728
594,0.00504,,,0.00756
595,0.00504,,,0.00756
596,0.00504,,,0.00756
597,0.00504,,,0.00756
598,0.00504,,,0.00756
599,0.00504,,,0.00756
600,0.00504,,,0.00756
601,0.00504,,,0.00756
602,0.00504,,,0.00756
603,0.00504,,,0.00756
604,0.00504,,,0.00756
605,0.00504,,,0.00756
606,0.00504,,,0.00756
607,0.00504,,,0.00756
608,0.00532,,,0.00784
609,0.00532,,,0.00784
610,0.00532,,,0.00784
611,0.00532,,,0.00784
612,0.00532,,,0.00784
613,0.00532,,,0.00784
614,0.00532,,,0.00784
615,0.00532,,,0.00784
616,0.00532,,,0.00784
617,0.00532,,,0.00784
618,0.00532,,,0.00784
619,0.00532,,,0.00784
620,0.00532,,,0.00784
621,0.00532,,,0.00784
622,0.00532,,,0.00784
623,0.00532,,,0.00784
624,0.00532,,,0.00784
625,0.00532,,,0.00784
626,0.00532,,,0.00784
627,0.00532,,,0.00784
628,0.00504,,,0.00756
629,0.00504,,,0.00756
630,0.00504,,,0.00756
631,0.00504,,,0.00756
632,0.00476,,,0.00728
633,0.00476,,,0.00728
634,0.00476,,,0.00728
635,0.00476,,,0.00728
636,0.00476,,,0.00728
637,0.00476,,,0.00728
638,0.00476,,,0.00728
639,0.00476,,,0.00728
640,0.00476,,,0.00728
641,0.00448,,,0.007
642,0.00448,,,0.007
643,0.00448,,,0.007
644,0.00448,,,0.007
645,0.00448,,,0.007
646,0.0042,,,0.00672
647,0.0042,,,0.00672
648,0.0042,,,0.00672
649,0.00392,,,0.00644
650,0.00392,,,0.00644
651,0.00392,,,0.00644
652,0.00392,,,0.00644
653,0.00392,,,0.00644
654,0.00364,,,0.00616
655,0.00364,,,0.00616
656,0.00336,,,0.00588
657,0.00336,,,0.00588
658,0.00336,,,0.00588
659,0.00308,,,0.0056
660,0.00308,,,0.0056
661,0.0028,,,0.00532
662,0.0028,,,0.00532
663,0.00252,,,0.00504
664,0.00252,,,0.00504
665,0.00252,,,0.00504
666,0.00224,,,0.00476
667,0.00224,,,0.00476
668,0.00224,,,0.00476
669,0.00224,,,0.00476
670,0.00196,,,0.00448
671,0.00196,,,0.00448
672,0.00168,,,0.0042
673,0.00168,,,0.0042
674,0.0014,,,0.00392
675,0.0014,,,0.00392
676,0.00112,,,0.00364
677,0.00112,,,0.00364
678,0.00084,,,0.00336
679,0.00084,,,0.00336
680,0.00056,,,0.00308
681,0.00056,,,0.00308
682,0.00056,,,0.00308
683,0.00056,,,0.00308
684,0.00028,,,0.0028
685,0.00028,,,0.0028
686,0.00028,,,0.0028
687,0.00028,,,0.0028
688,0,,,0.00252
689,0,,,0.00252
690,0,,,0.00252
691,-0.00028,,,0.00224
692,-0.00028,,,0.00224
693,-0.00028,,,0.00224
694,-0.00056,,,0.00196
695,-0.00056,,,0.00196
696,-0.00056,,,0.00196
697,-0.00084,,,0.00168
698,-0.00084,,,0.00168
699,-0.00084,,,0.00168
700,-0.00084,,,0.00168
701,-0.00084,,,0.00168
702,-0.00112,,,0.0014
703,-0.00112,,,0.0014
704,-0.00112,,,0.0014
705,-0.00112,,,0.0014
706,-0.00112,,,0.0014
707,-0.00112,,,0.0014
708,-0.00112,,,0.0014
709,-0.00112,,,0.0014
710,-0.00112,,,0.0014
711,-0.00112,,,0.0014
712,-0.00112,,,0.0014
713,-0.0014,,,0.00112
714,-0.0014,,,0.00112
715,-0.0014,,,0.00112
716,-0.0014,,,0.00112
717,-0.0014,,,0.00112
718,-0.0014,,,0.00112
719,-0.0014,,,0.00112
720,-0.00112,,,0.0014
721,-0.00112,,,0.0014
722,-0.00112,,,0.0014
723,-0.00112,,,0.0014
724,-0.00112,,,0.0014
725,-0.00084,,,0.00168
726,-0.00084,,,0.00168
727,-0.00084,,,0.00168
728,-0.00084,,,0.00168
729,-0.00084,,,0.00168
730,-0.00056,,,0.00196
731,-0.00056,,,0.00196
732,-0.00056,,,0.00196
733,-0.00028,,,0.00224
734,-0.00028,,,0.00224
735,-0.00028,,,0.00224
736,0,,,0.00252
737,0,,,0.00252
738,0,,,0.00252
739,0.00028,,,0.0028
740,0.00028,,,0.0028
741,0.00056,,,0.00308
742,0.00056,,,0.00308
743,0.00084,,,0.00336
744,0.00084,,,0.00336
745,0.00112,,,0.00364
746,0.00112,,,0.00364
747,0.0014,,,0.00392
748,0.0014,,,0.00392
749,0.00168,,,0.0042
750,0.00168,,,0.0042
751,0.00196,,,0.00448
752,0.00196,,,0.00448
753,0.00224,,,0.00476
754,0.00224,,,0.00476
755,0.00252,,,0.00504
756,0.00252,,,0.00504
757,0.0028,,,0.00532
758,0.0028,,,0.00532
759,0.00308,,,0.0056
760,0.00308,,,0.0056
761,0.00336,,,0.00588
762,0.00336,,,0.00588
763,0.00336,,,0.00588
764,0.00336,,,0.00588
765,0.00364,,,0.00616
766,0.00364,,,0.00616
767,0.00364,,,0.00616
768,0.00392,,,0.00644
769,0.00392,,,0.00644
770,0.0042,,,0.00672
771,0.0042,,,0.00672
772,0.00448,,,0.007
773,0.00448,,,0.007
774,0.00448,,,0.007
775,0.00448,,,0.007
776,0.00476,,,0.00728
777,0.00476,,,0.00728
778,0.00504,,,0.00756
779,0.00504,,,0.00756
780,0.00532,,,0.00784
781,0.00532,,,0.00784
782,0.00532,,,0.00784
783,0.0056,,,0.00812
784,0.0056,,,0.00812
785,0.0056,,,0.00812
786,0.0056,,,0.00812
787,0.00588,,,0.0084
788,0.00588,,,0.0084
789,0.00616,,,0.00868
790,0.00616,,,0.00868
791,0.00644,,,0.00896
792,0.00644,,,0.00896
793,0.00644,,,0.00896
794,0.00644,,,0.00896
